source_id,authority,title,publication_date,source_type,primary_status,analytic_role,locator,accessed,exact_use,resolution,coverage,territoriality,limitations,supports,does_not_support
CAM_ANNUAL_2025,CAMMESA,Estadísticas anuales 2005-2025,2026,dataset,primary,Balance anual; mix; demanda; potencia; emisiones; variables económicas,data/raw/cammesa/Estadisticas anuales 2005-2025.xlsx,2026-08-08,Balance anual; mix; demanda; potencia; emisiones; variables económicas,según fuente,según fuente,según fuente,Vintage anual canónico; variables económicas son promedios del MEM,Balance anual; mix; demanda; potencia; emisiones; variables económicas,Vintage anual canónico; variables económicas son promedios del MEM
CAM_BAL_MONTHLY,CAMMESA,Balance Mensual,2026,dataset,primary,Reconciliación mensual de oferta y demanda,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Adicionales_INFORME_MENSUAL/Balance Mensual.xlsx,2026-08-08,Reconciliación mensual de oferta y demanda,según fuente,según fuente,según fuente,Vintage mensual puede diferir del anuario,Reconciliación mensual de oferta y demanda,Vintage mensual puede diferir del anuario
CAM_CAPACITY,CAMMESA,Potencia Instalada,2026,dataset,primary,Potencia por máquina y fecha de habilitación; stock territorial,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Potencia Instalada.xlsx,2026-08-08,Potencia por máquina y fecha de habilitación; stock territorial,según fuente,según fuente,según fuente,Stock junio 2026; no capacidad media anual salvo verificación de fecha,Potencia por máquina y fecha de habilitación; stock territorial,Stock junio 2026; no capacidad media anual salvo verificación de fecha
CAM_COTAS,CAMMESA,Cotas Diarias,2026,dataset,primary,Niveles relativos de embalses Comahue,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Adicionales_INFORME_MENSUAL/Cotas Diarias.xlsx,2026-08-08,Niveles relativos de embalses Comahue,según fuente,según fuente,según fuente,Sin curvas cota-volumen ni reglas operativas,Niveles relativos de embalses Comahue,Sin curvas cota-volumen ni reglas operativas
CAM_DEMAND_PROV_H,CAMMESA,Demanda Horaria por Provincia,2026,dataset,primary,Demanda territorial y perfiles 2023-2025,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Demanda_INFORME_MENSUAL/Demanda Horaria por Provincia.xlsx,2026-08-08,Demanda territorial y perfiles 2023-2025,según fuente,según fuente,según fuente,CABA no separable de Buenos Aires; Tierra del Fuego fuera del MEM,Demanda territorial y perfiles 2023-2025,CABA no separable de Buenos Aires; Tierra del Fuego fuera del MEM
CAM_DEMAND_TYPE_H,CAMMESA,Demanda Horaria por Tipo,2026,dataset,primary,Demanda horaria y punta por tipo 2023-2025,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Demanda_INFORME_MENSUAL/Demanda Horaria por Tipo.xlsx,2026-08-08,Demanda horaria y punta por tipo 2023-2025,según fuente,según fuente,según fuente,Ventana corta para explicar tendencias 2012-2025,Demanda horaria y punta por tipo 2023-2025,Ventana corta para explicar tendencias 2012-2025
CAM_EF,CAMMESA,Factor de Emisión,2026,dataset,primary,Factores de CO2 por combustible,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Factor de Emisión.xlsx,2026-08-08,Factores de CO2 por combustible,según fuente,según fuente,según fuente,CO2 de combustión; no ciclo de vida,Factores de CO2 por combustible,CO2 de combustión; no ciclo de vida
CAM_EVENT_20230301,CAMMESA,Informe preliminar evento 1-mar-2023: falla triple por incendio de campos,2023,event_report,primary,Cribado del evento extremo en la auditoría de rampas,https://cammesaweb.cammesa.com/2023/03/02/informe-preliminar-evento-1-mar-2023-falla-triple-por-incendio-de-campos/,2026-08-10,Cribado del evento extremo en la auditoría de rampas,según fuente,según fuente,según fuente,El informe se usa para clasificar el día; los datos horarios provienen del XLSX local,Cribado del evento extremo en la auditoría de rampas,El informe se usa para clasificar el día; los datos horarios provienen del XLSX local
CAM_FUEL_D,CAMMESA,Combustibles Diarios,2026,dataset,primary,Emisiones diarias y reconciliación con IV,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Combustibles Diarios.xlsx,2026-08-08,Emisiones diarias y reconciliación con IV,según fuente,según fuente,según fuente,Cobertura de modelos limitada a 2023-2025,Emisiones diarias y reconciliación con IV,Cobertura de modelos limitada a 2023-2025
CAM_FUEL_M,CAMMESA,Combustibles Mensual,2026,dataset,primary,Consumo específico y desempeño térmico mensual,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Combustibles Mensual.xlsx,2026-08-08,Consumo específico y desempeño térmico mensual,según fuente,según fuente,según fuente,Convenciones de unidades se validan contra anuario,Consumo específico y desempeño térmico mensual,Convenciones de unidades se validan contra anuario
CAM_GEN_M,CAMMESA,Generación Local Mensual,2026,dataset,primary,Generación por central y tecnología; casos hidro,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Generación Local Mensual.xlsx,2026-08-08,Generación por central y tecnología; casos hidro,según fuente,según fuente,según fuente,Vintage mensual; 2026 excluido de flujos,Generación por central y tecnología; casos hidro,Vintage mensual; 2026 excluido de flujos
CAM_HYDRO_BIN,CAMMESA,Hidro Binacional,2026,dataset,primary,Producción total y asignación argentina de Yacyretá,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Adicionales_INFORME_MENSUAL/Hidro Binacional.xlsx,2026-08-08,Producción total y asignación argentina de Yacyretá,según fuente,según fuente,según fuente,No representa por sí sola disponibilidad hidráulica doméstica,Producción total y asignación argentina de Yacyretá,No representa por sí sola disponibilidad hidráulica doméstica
CAM_IMPEXP_H,CAMMESA,Import-Export Horaria,2026,dataset,primary,Intercambios por hora y condición de demanda 2023-2025,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Adicionales_INFORME_MENSUAL/Import-Export Horaria.xlsx,2026-08-08,Intercambios por hora y condición de demanda 2023-2025,según fuente,según fuente,según fuente,Intercambio observado no revela causa ni restricción de red,Intercambios por hora y condición de demanda 2023-2025,Intercambio observado no revela causa ni restricción de red
CAM_IMPEXP_M,CAMMESA,Import-Export Mensual,2026,dataset,primary,Estacionalidad y origen/destino de intercambios,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Bases_Adicionales_INFORME_MENSUAL/Import-Export Mensual.xlsx,2026-08-08,Estacionalidad y origen/destino de intercambios,según fuente,según fuente,según fuente,Vintage mensual distinto del anuario,Estacionalidad y origen/destino de intercambios,Vintage mensual distinto del anuario
CAM_MAX_DEMAND,CAMMESA,Máximos históricos de energía y potencia estacionales,2026,web_document,primary,"Fechas, potencia y temperatura de máximos 2025",https://cammesaweb.cammesa.com/2023/03/14/maximos-historicos-de-energia-y-potencia-estacionales/,2026-08-10,"Fechas, potencia y temperatura de máximos 2025",según fuente,según fuente,según fuente,El máximo es instantáneo y no equivale al promedio del bloque horario,"Fechas, potencia y temperatura de máximos 2025",El máximo es instantáneo y no equivale al promedio del bloque horario
CAM_OFFER_H,CAMMESA,Oferta Total Horaria,2026,dataset,primary,Despacho horario 2023-2025,data/raw/cammesa/BASE_INFORME_MENSUAL_2026-06/Base_Oferta_INFORME_MENSUAL/Oferta Total Horaria.xlsx,2026-08-08,Despacho horario 2023-2025,según fuente,según fuente,según fuente,Estimación sistémica; no despacho nodal,Despacho horario 2023-2025,Estimación sistémica; no despacho nodal
CAM_RENEW_2026_06,CAMMESA,Energía Renovables - Base de Datos 2026-06,2026,dataset,primary,Generación mensual por central; tecnología; provincia; categoría RenovAr/MATER/Resto,data/raw/cammesa/Energía Renovables - Base de Datos 2026-06.xlsx,2026-08-08,Generación mensual por central; tecnología; provincia; categoría RenovAr/MATER/Resto,según fuente,según fuente,según fuente,2026 incompleto; sólo datos hasta 2025 entran en flujos,Generación mensual por central; tecnología; provincia; categoría RenovAr/MATER/Resto,2026 incompleto; sólo datos hasta 2025 entran en flujos
CAM_SATURATED_NODES,CAMMESA,Áreas y nodos de distribución saturada,2026,administrative_inventory,primary,inventario de saturación,https://cammesaweb.cammesa.com/areas-y-nodos-distr-saturada/,2026-08-10,auditoría de disponibilidad,nodo,actual,distribución,planilla no recuperada,existencia del inventario,lista de nodos
CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,CAMMESA,Geográfico Red de 500 y 330 kV,2026-08-05,official_dynamic_download_page,primary,topología representativa del SADI,https://cammesaweb.cammesa.com/download/geografico-red-de-500-y-330-kv/,2026-08-11,relaciones de nodos para topología analítica no exhaustiva,topológica,consulta posterior a la ventana 2025,SADI,"archivo exacto no materializado; sin capacidad, flujo, congestión u operación 2025",conectividad representativa,"dirección de flujo, capacidad, congestión, servicio o sitio de centro de datos"
CAM_WEB_ANNUAL,CAMMESA,Informe anual,2026,web_document,primary,Proveniencia pública del anuario,https://cammesaweb.cammesa.com/informe-anual/,2026-08-08,Proveniencia pública del anuario,según fuente,según fuente,según fuente,La página puede actualizar enlaces; el XLSX local queda hasheado,Proveniencia pública del anuario,La página puede actualizar enlaces; el XLSX local queda hasheado
CAUCHARI_FIN,República Argentina,Financiamiento e inversión de Cauchari,2017,official_news,primary,Inversión total y financiamiento Exim,https://www.argentina.gob.ar/noticias/caputo-expuso-en-el-foro-de-negocios-e-inversiones-china-argentina,2026-08-08,Inversión total y financiamiento Exim,según fuente,según fuente,según fuente,Anuncio oficial; cobertura de CAPEX puede diferir de costo final,Inversión total y financiamiento Exim,Anuncio oficial; cobertura de CAPEX puede diferir de costo final
CAUCHARI_PPA,Gobierno de Jujuy,Documentación oficial del PPA Cauchari,2017,official_document,primary,Precio y plazo contractual publicados,https://boletinoficial.jujuy.gob.ar/?p=69958,2026-08-08,Precio y plazo contractual publicados,según fuente,según fuente,según fuente,No contiene todos los anexos de liquidación y riesgo,Precio y plazo contractual publicados,No contiene todos los anexos de liquidación y riesgo
CEN_2025_NEWS,Coordinador Eléctrico Nacional,Récord solar y eólico del SEN en 2025,2025-12-29,official_news,primary,participación renovable Chile,https://www.coordinador.cl/novedades/energia-solar-y-eolica-marco-record-de-participacion-en-el-sistema-electrico-en-2025/,2026-08-10,participación aproximada,anual,2025,SEN Chile,comunicación preliminar,orden de magnitud,frontera argentina
CEN_REPORT_2025,Coordinador Eléctrico Nacional,Reporte anual desempeño SEN 2025,2026-04,official_report,primary,cierre Chile,https://www.coordinador.cl/wp-content/uploads/2026/04/CEN-Reporte-Art-72-15-ano-2025-21-04-2026.pdf,2026-08-10,generación/ERNC/recortes,anual,2025,SEN Chile,SEN no es frontera nacional idéntica,endpoint,Argentina
DEC_531,República Argentina,Decreto 531/2016 texto actualizado,2016,legislation,primary,Reglamentación Leyes 26.190/27.191,https://www.argentina.gob.ar/normativa/nacional/decreto-531-2016-259883/actualizacion,2026-08-08,Reglamentación Leyes 26.190/27.191,según fuente,según fuente,según fuente,Regla institucional; no prueba implementación efectiva,Reglamentación Leyes 26.190/27.191,Regla institucional; no prueba implementación efectiva
DISP_1_2018,Subsecretaría de Energías Renovables,Disposición E 1/2018,2018,legislation,primary,Valores de referencia de inversión para beneficios fiscales,https://www.argentina.gob.ar/normativa/nacional/norma-305722/texto,2026-08-08,Valores de referencia de inversión para beneficios fiscales,según fuente,según fuente,según fuente,Valores regulatorios de referencia; no CAPEX realizado,Valores de referencia de inversión para beneficios fiscales,Valores regulatorios de referencia; no CAPEX realizado
DISP_5_2025,Subsecretaría de Transición y Planeamiento Energético,Disposición 5/2025,2025,legislation,primary,Actualización de proyectos y contratos privados,https://www.argentina.gob.ar/normativa/nacional/norma-416848/texto,2026-08-08,Actualización de proyectos y contratos privados,según fuente,según fuente,según fuente,Posterior a parte de la ventana; uso contextual,Actualización de proyectos y contratos privados,Posterior a parte de la ventana; uso contextual
EMBER_GER_2026,Ember,Global Electricity Review 2026,2026,report,secondary_editorial,Referencia funcional de jerarquía y legibilidad,https://ember-energy.org/latest-insights/global-electricity-review-2026/,2026-08-10,Referencia funcional de jerarquía y legibilidad,según fuente,según fuente,según fuente,No se copia identidad visual ni se usa como evidencia argentina,Referencia funcional de jerarquía y legibilidad,No se copia identidad visual ni se usa como evidencia argentina
EMBER_GER_2026_LOCAL,Ember,Global Electricity Review 2026,2026,attached_report,secondary,"Método comparativo, tendencias globales y contexto Brasil/Chile",Input attachment: Global-Electricity-Review-2026(4).pdf; not redistributed,2026-08-10,"Método comparativo, tendencias globales y contexto Brasil/Chile",según fuente,según fuente,según fuente,Estimaciones 2025 y categorías Ember; no reemplaza estadísticas oficiales argentinas,"Método comparativo, tendencias globales y contexto Brasil/Chile",Estimaciones 2025 y categorías Ember; no reemplaza estadísticas oficiales argentinas
EPE_BEN_2026,EPE Brasil,Balanço Energético Nacional 2026,2026,official_statistics,primary,cierre Brasil 2025,https://dashboard.epe.gov.br/apps/anuario-livro/livro/pt/destaques.html,2026-08-10,oferta doméstica y renovables,anual,2025,Brasil,frontera incluye importaciones,endpoint oficial,ranking directo
GEN_CHUBUT_COMPLEX,Genneia,Complejo Eólico Chubut Norte,2026,corporate_project_page,interested_primary,Potencia; factor de capacidad publicado; financiamiento,https://www.genneia.com.ar/parqueinterior.php?parque=10-parque-e%C3%B3lico-chubut-norte,2026-08-08,Potencia; factor de capacidad publicado; financiamiento,según fuente,según fuente,según fuente,Fuente del desarrollador; no validación independiente,Potencia; factor de capacidad publicado; financiamiento,Fuente del desarrollador; no validación independiente
GEN_CHUBUT_IV,Genneia,Entrada en operación de Chubut Norte IV,2021,corporate_project_page,interested_primary,Inversión; potencia; generación esperada; ronda,https://www.genneia.com.ar/novedad-interior.php?novedad=159-comienza-a-operar-el-parque-e%C3%B3lico-chubut-norte-iv-de-genneia-y-pae,2026-08-08,Inversión; potencia; generación esperada; ronda,según fuente,según fuente,según fuente,Cifras declaradas por la empresa,Inversión; potencia; generación esperada; ronda,Cifras declaradas por la empresa
GEOREF,República Argentina,Georef API de provincias,2026,geospatial_data,primary,Centroides y geometría provincial,https://apis.datos.gob.ar/georef/api/provincias,2026-08-08,Centroides y geometría provincial,según fuente,según fuente,según fuente,Centroides administrativos son una aproximación instrumental,Centroides y geometría provincial,Centroides administrativos son una aproximación instrumental
IEA_ELECTRICITY_2026,International Energy Agency,Electricity 2026 executive summary,2026,web_report,secondary_editorial,Referencia de sobriedad expositiva,https://www.iea.org/reports/electricity-2026/executive-summary,2026-08-10,Referencia de sobriedad expositiva,según fuente,según fuente,según fuente,No se usa como fuente de cifras argentinas,Referencia de sobriedad expositiva,No se usa como fuente de cifras argentinas
IRENA_COSTS_2025,IRENA,Renewable Power Generation Costs in 2025,2026,multilateral_report,primary,Benchmark internacional LCOE e inversión,https://www.irena.org/Publications/2026/Jul/Renewable-Power-Generation-Costs-in-2025,2026-08-08,Benchmark internacional LCOE e inversión,según fuente,según fuente,según fuente,Promedio global; no costo argentino específico,Benchmark internacional LCOE e inversión,Promedio global; no costo argentino específico
IVMODELS_010,ivmodels contributors,ivmodels documentation,2026,software_documentation,primary_software,Contrastes AR/CLR y Cragg-Donald bajo referencia IID,https://ivmodels.readthedocs.io/,2026-08-10,Contrastes AR/CLR y Cragg-Donald bajo referencia IID,según fuente,según fuente,según fuente,Los resultados IID no sustituyen inferencia temporal HAC,Contrastes AR/CLR y Cragg-Donald bajo referencia IID,Los resultados IID no sustituyen inferencia temporal HAC
KP_2006,Frank Kleibergen and Richard Paap,Generalized reduced rank tests using the singular value decomposition,2006,academic_article,secondary_method,Marco rk robusto a heterocedasticidad,https://doi.org/10.1016/j.jeconom.2005.02.011,2026-08-10,Marco rk robusto a heterocedasticidad,según fuente,según fuente,según fuente,KP rk HAC no se informa sin una implementación fijada y verificada,Marco rk robusto a heterocedasticidad,KP rk HAC no se informa sin una implementación fijada y verificada
LAW_26190,República Argentina,Ley 26.190 texto actualizado,2006,legislation,primary,Régimen renovable original y definiciones,https://www.argentina.gob.ar/normativa/nacional/ley-26190-123565/actualizacion,2026-08-08,Régimen renovable original y definiciones,según fuente,según fuente,según fuente,Debe leerse junto con modificaciones posteriores,Régimen renovable original y definiciones,Debe leerse junto con modificaciones posteriores
LAW_27191,República Argentina,Ley 27.191 texto actualizado,2015,legislation,primary,Metas; umbral hidro; obligaciones; FODER,https://www.argentina.gob.ar/normativa/nacional/253626/actualizacion,2026-08-08,Metas; umbral hidro; obligaciones; FODER,según fuente,según fuente,según fuente,Marco legal no identifica efecto causal observado,Metas; umbral hidro; obligaciones; FODER,Marco legal no identifica efecto causal observado
LBNL_QUEUED_2026_PUBLIC,Lawrence Berkeley National Laboratory,Queued Up 2026 Edition,2026,report,primary_public_report_page,referencia metodológica sobre estados de colas y faltantes,https://emp.lbl.gov/publications/queued-2026-edition-characteristics,2026-08-10,disciplina de estados administrativos; no datos argentinos,según fuente,según fuente,según fuente,"sistema estadounidense; página pública consultada, PDF no incorporado",método de clasificación de estados y faltantes,evidencia sobre Argentina o sus proyectos
LINEARMODELS_7,Kevin Sheppard,linearmodels IV2SLS documentation,2026,software_documentation,primary_software,Réplica independiente del estimador 2SLS heredado,https://bashtage.github.io/linearmodels/iv/iv/linearmodels.iv.model.IV2SLS.html,2026-08-10,Réplica independiente del estimador 2SLS heredado,según fuente,según fuente,según fuente,La coincidencia de software no valida exclusión,Réplica independiente del estimador 2SLS heredado,La coincidencia de software no valida exclusión
MATER_OFFICIAL,Secretaría de Energía,MATER,2026,program_document,primary,Descripción del mercado a término renovable,https://www.argentina.gob.ar/economia/energia/energia-electrica/mater,2026-08-08,Descripción del mercado a término renovable,según fuente,según fuente,según fuente,No publica todos los precios contractuales privados,Descripción del mercado a término renovable,No publica todos los precios contractuales privados
MIEM_URY_2025,MIEM Uruguay,Balance energético preliminar 2025,2026-03-27,official_statistics,primary,cierre Uruguay,https://www.gub.uy/ministerio-industria-energia-mineria/comunicacion/noticias/uruguay-continua-reduciendo-participacion-fuentes-fosiles-matriz-primaria,2026-08-10,generación por fuente,anual,2025,Uruguay,preliminar,endpoint,comparabilidad automática
MILLSTEIN_2024,Millstein et al.,Climate and air quality benefits of wind and solar generation in the United States,2024,academic_article,secondary_context,Comparación metodológica de desplazamiento y emisiones,https://doi.org/10.1016/j.crsus.2024.100105,2026-08-08,Comparación metodológica de desplazamiento y emisiones,según fuente,según fuente,según fuente,Otro sistema eléctrico; no transportable sin supuestos,Comparación metodológica de desplazamiento y emisiones,Otro sistema eléctrico; no transportable sin supuestos
MINIREN_OFFICIAL,República Argentina,RenovAr Ronda 3 MiniRen: adjudicación,2019-08-02,official_news,primary,adjudicación R3,https://www.argentina.gob.ar/noticias/energias-renovables-el-gobierno-suma-energia-para-250000-hogares,2026-08-10,38 proyectos/259 MW anunciados,proyecto,Ronda 3,nacional,anuncio,adjudicación,habilitación/energía
NASA_POWER,NASA POWER,Hourly API documentation,2026,method_document,primary,Definición y resolución de meteorología horaria,https://power.larc.nasa.gov/docs/services/api/temporal/hourly/,2026-08-08,Definición y resolución de meteorología horaria,según fuente,según fuente,según fuente,Resolución gridded no representa micro-sitio de cada parque,Definición y resolución de meteorología horaria,Resolución gridded no representa micro-sitio de cada parque
NASA_POWER_FLUX,NASA POWER,Energy fluxes methodology,2026,method_document,primary,Radiación derivada de observaciones satelitales y modelos radiativos,https://power.larc.nasa.gov/docs/methodology/energy-fluxes/,2026-08-10,Radiación derivada de observaciones satelitales y modelos radiativos,según fuente,según fuente,según fuente,GHI de grilla; no medición en superficie del parque,Radiación derivada de observaciones satelitales y modelos radiativos,GHI de grilla; no medición en superficie del parque
NASA_POWER_MET,NASA POWER,Meteorology methodology,2026,method_document,primary,MERRA-2 como fuente de reanálisis para variables meteorológicas,https://power.larc.nasa.gov/docs/methodology/meteorology/,2026-08-10,MERRA-2 como fuente de reanálisis para variables meteorológicas,según fuente,según fuente,según fuente,Resolución espacial no captura micro-sitio ni estela,MERRA-2 como fuente de reanálisis para variables meteorológicas,Resolución espacial no captura micro-sitio ni estela
NASA_POWER_METHOD,NASA POWER,Methodology,2026,method_document,primary,Arquitectura y proveniencia general de productos meteorológicos y radiativos,https://power.larc.nasa.gov/docs/methodology/,2026-08-10,Arquitectura y proveniencia general de productos meteorológicos y radiativos,según fuente,según fuente,según fuente,Producto de grilla; no observación de parque,Arquitectura y proveniencia general de productos meteorológicos y radiativos,Producto de grilla; no observación de parque
NEWEY_WEST_1987,Whitney Newey and Kenneth West,A simple positive semi-definite heteroskedasticity and autocorrelation consistent covariance matrix,1987,academic_article,secondary_method,Covarianza HAC,https://doi.org/10.2307/1913610,2026-08-10,Covarianza HAC,según fuente,según fuente,según fuente,Ajusta inferencia; no valida instrumentos,Covarianza HAC,Ajusta inferencia; no valida instrumentos
OWID_EMBER_2026,OWID/Ember,Yearly Electricity Data 2026 extract,2026-06-30,harmonized_dataset,secondary,trayectorias regionales,sources/external/owid_ember_regional_extract_2018_2025.csv,2026-08-10,2018-2025 cuatro países,anual,2018-2025,nacional armonizada,difiere de fronteras oficiales,trayectoria,sustituir endpoint oficial
PLAN_TRANSPORT_2025,República Argentina,Plan Nacional de Ampliación del Transporte Eléctrico,2025,official_news,primary,estado de tres obras,https://www.argentina.gob.ar/noticias/el-gobierno-pone-en-marcha-el-plan-nacional-de-ampliacion-del-transporte-electrico-con-tres,2026-08-10,preparación/tender,proyecto,2025,nacional,comunicación,preparación,servicio
RENMDI_CAMMESA,CAMMESA,RenMDI documentación,2023,program_document,primary,documentación convocatoria,https://cammesaweb.cammesa.com/renmdi/,2026-08-10,contratos/nodos/adjudicación,programa,2023,MEM,estados posteriores heterogéneos,arquitectura,efecto causal
RENOVAR_OFFICIAL,Secretaría de Energía,Programa RenovAr,2026,program_document,primary,Documentos de rondas; adjudicación y contratos,https://www.argentina.gob.ar/economia/energia/energia-electrica/renovables/renovar,2026-08-08,Documentos de rondas; adjudicación y contratos,según fuente,según fuente,según fuente,Adjudicado no equivale a operativo,Documentos de rondas; adjudicación y contratos,Adjudicado no equivale a operativo
RES_108_2011,Secretaría de Energía,Resolución 108/2011,2011-03-29,legislation,primary,contratos renovables,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-108-2011-181099/texto,2026-08-10,mecanismo contractual,norma,2011,nacional/MEM,sin energía por proyecto,regla de contratación,operación
RES_136_2016,Ministerio de Energía y Minería,Resolución 136/2016,2016-07-25,legislation,primary,convocatoria RenovAr Ronda 1,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-136-2016-263786/texto,2026-08-10,convocatoria y pliego,norma,2016,nacional/MEM,no prueba operación,diseño Ronda 1,generación posterior
RES_202_2016,Ministerio de Energía y Minería,Resolución 202/2016,2016-09-28,legislation,primary,tratamiento de proyectos 712/108,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-202-2016-265962/texto,2026-08-10,continuidad/elegibilidad,norma,2016,nacional/MEM,no contiene diccionario de etiqueta CAMMESA,puente documental,correspondencia 1:1 con Renovar 202
RES_213_2016,Ministerio de Energía y Minería,Resolución 213/2016,2016-10-07,legislation,primary,adjudicación RenovAr Ronda 1,https://www.argentina.gob.ar/normativa/nacional/norma-266371/texto,2026-08-10,adjudicación,proyecto,2016,nacional/MEM,no prueba habilitación,cartera Ronda 1,energía observada
RES_252_2016,Ministerio de Energía y Minería,Resolución 252/2016,2016-10-28,legislation,primary,convocatoria RenovAr Ronda 1.5,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-252-2016-266994/texto,2026-08-10,convocatoria y pliego,norma,2016,nacional/MEM,no prueba operación,diseño Ronda 1.5,generación posterior
RES_275_2017,Ministerio de Energía y Minería,Resolución 275/2017,2017-08-16,legislation,primary,convocatoria RenovAr Ronda 2,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-275-2017-278350/texto,2026-08-10,convocatoria y pliego,norma,2017,nacional/MEM,no prueba operación,diseño Ronda 2,generación posterior
