reference_id,autor_o_institucion,titulo_real,anio,tipo,url_oficial_o_doi,fecha_consulta,afirmaciones_que_sostiene,limite_de_uso,disponibilidad_local,sha256_local,estado
CAMMESA2026h,CAMMESA,Sistema de Operación en Tiempo Real — SOTR,2026h,Descripción institucional,https://cammesaweb.cammesa.com/inicio-sotr/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",does not disclose full vendor dependency,sin copia local en el release,NOT_APPLICABLE,PASS
CNEA2026,CNEA,Energía nuclear y capacidades tecnológicas argentinas,2026,Comisión Nacional de Energía Atómica,https://www.argentina.gob.ar/cnea,2026-08-18,evidencia primaria de existencia de capacidades tecnológicas,not a component-level industrial census,sin copia local en el release,NOT_APPLICABLE,PASS
Ember2026,Ember,Yearly Electricity Data,2026,Serie armonizada distribuida por Our World in Data,https://ember-energy.org/data/yearly-electricity-data/,2026-08-18,trayectoria eléctrica regional armonizada 2018–2025,armonización comparable con menor detalle que los cierres nacionales,sin copia local en el release,NOT_APPLICABLE,PASS
Faraday2026,Faraday,Transformadores de potencia y distribución,2026,Información técnica del fabricante,https://www.faradaysa.com.ar/,2026-08-18,evidencia primaria de existencia de capacidades tecnológicas,"la fuente primaria prueba existencia, no escala, integración completa ni competitividad",sin copia local en el release,NOT_APPLICABLE,PASS
IGN2026a,IGN,"Capas SIG: límites, centrales de energía y cartografía oficial",2026a,Instituto Geográfico Nacional,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,2026-08-18,"límites, localización de activos y fondo cartográfico oficial",not a complete electrical model,network/raw_official/ign_transformadores.zip,040a0cd70b6151c6bb93b83baa2146168362ceb0c74a52b6c57d73e7248dd440,PASS
IGN2026b,IGN,Servicios OGC y Argenmap Topo,2026b,Instituto Geográfico Nacional,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/ServiciosOGC,2026-08-18,"límites, localización de activos y fondo cartográfico oficial",zoom-5 visual context only,network/processed/argenmap_topo_z5_mosaic.png,4a259ca088e29770102074fba653af18866bb95f16271ea0326dbd2684f38a51,PASS
IMPSA2026,IMPSA,Hydro y sistemas de transmisión,2026,Información técnica institucional,https://www.impsa.com/productos/hydro/,2026-08-18,evidencia primaria de existencia de capacidades tecnológicas,company statement not an independent census,sin copia local en el release,NOT_APPLICABLE,PASS
IMSA2026,IMSA,Conductores para instalación aérea,2026,Información técnica del fabricante,https://imsa.com.ar/cables-para-instalacion-aerea/,2026-08-18,evidencia primaria de existencia de capacidades tecnológicas,"la fuente primaria prueba existencia, no escala, integración completa ni competitividad",sin copia local en el release,NOT_APPLICABLE,PASS
INTI2026,INTI,Servicios tecnológicos para energías renovables,2026,Instituto Nacional de Tecnología Industrial,https://www.argentina.gob.ar/inti/servicios-inti/energias-renovables,2026-08-18,evidencia primaria de existencia de capacidades tecnológicas,existence does not establish industrial scale,sin copia local en el release,NOT_APPLICABLE,PASS
Kleibergen2006,"Kleibergen, F. y Paap, R.",Generalized reduced rank tests using the singular value decomposition,2006,"Journal of Econometrics, 133(1), 97–126",https://doi.org/10.1016/j.jeconom.2005.02.011,2026-08-18,fundamento metodológico para descomposición o inferencia econométrica,"la validez empírica sigue condicionada a datos, frontera y supuestos",sin copia local en el release,NOT_APPLICABLE,PASS
NASAPOWER2026,NASA POWER,Hourly meteorological data,2026,Prediction of Worldwide Energy Resources,https://power.larc.nasa.gov/,2026-08-18,controles meteorológicos horarios,usar sólo para la afirmación y frontera registradas,sin copia local en el release,NOT_APPLICABLE,PASS
Newey1987,"Newey, W. K. y West, K. D.","A simple, positive semi-definite, heteroskedasticity and autocorrelation consistent covariance matrix",1987,"Econometrica, 55(3), 703–708",https://doi.org/10.2307/1913610,2026-08-18,fundamento metodológico para descomposición o inferencia econométrica,"la validez empírica sigue condicionada a datos, frontera y supuestos",sin copia local en el release,NOT_APPLICABLE,PASS
Sanderson2016,"Sanderson, E. y Windmeijer, F.",A weak instrument F-test in linear IV models with multiple endogenous variables,2016,"Journal of Econometrics, 190(2), 212–221",https://doi.org/10.1016/j.jeconom.2015.06.004,2026-08-18,fundamento metodológico para descomposición o inferencia econométrica,"la validez empírica sigue condicionada a datos, frontera y supuestos",sin copia local en el release,NOT_APPLICABLE,PASS
SecretariadeEnergi2017,Secretaría de Energía,Resolución 281-E/2017 — Mercado a Término de Energía Eléctrica de Fuente Renovable,2017,Boletín Oficial,https://www.boletinoficial.gob.ar/detalleAviso/primera/169939/20170822,2026-08-18,marco normativo y rutas institucionales de incorporación renovable,usar sólo para la afirmación y frontera registradas,sin copia local en el release,NOT_APPLICABLE,PASS
SecretariadeEnergi2026a,Secretaría de Energía,Transporte eléctrico de alta tensión — líneas,2026a,Datos Argentina; actualización 2026,https://datos.gob.ar/dataset/energia-transporte-electrico-at-lineas,2026-08-18,geometría y atributos publicados de líneas o estaciones,no flows capacity margins or operating status,network/raw_official/transporte_lineas.zip,1aa0e1cf22bb1d80be4961193ad01da57ca757ae474c53a2a5ca42fb0ef433e3,PASS
SecretariadeEnergi2026b,Secretaría de Energía,Transporte eléctrico — estaciones transformadoras,2026b,Datos Argentina; actualización 2026,https://datos.gob.ar/dataset/energia,2026-08-18,geometría y atributos publicados de líneas o estaciones,75-record resource lacks power and is not used for capacity,network/raw_official/centrales.zip,230ca3a5a2fa2c118fbae960a240dad249a579c66027da30dbcd8dadb55bd4,PASS
SecretariadeInnova2023,Secretaría de Innovación Pública,Segunda Estrategia Nacional de Ciberseguridad,2023,Normativa nacional,https://www.argentina.gob.ar/jefatura/innovacion-publica/direccion-nacional-ciberseguridad/normativa,2026-08-18,marco institucional de ciberseguridad,not an electricity-sector OT audit,sin copia local en el release,NOT_APPLICABLE,PASS
